Time,Actual,Predicted
4443.7114,52.89,50.700764
15.800001,4.713143,4.643726
672.13995,41.52,40.869022
6.0,2.14,2.057766
25.34,19.246899,18.826225
21.890001,24.82,22.839886
18.82,5.4103312,5.0640645
8020.902,49.9,50.60909
8.03,7.03,6.7195663
5.9500003,2.59,2.1172073
339.98996,35.55,38.443005
22.24,15.69,13.36843
23.839998,4.9269333,5.1168785
5.9500003,2.59,2.426842
672.18,43.22,42.219162
7.9700003,2.24,2.88803
18.960001,15.37,16.834915
11.81,4.51,3.926446
71.05,29.27,30.720747
21.92,19.72,23.04994
24.849998,6.6756287,7.0818715
6.9,0.9433333,1.3966272
12.810001,5.43,4.084627
8.910001,1.9903406,2.690475
15.089998,15.22199,16.500103
8020.902,49.9,50.320736
9.989999,4.06,6.5451117
13.8,2.6428332,2.6328464
20.109999,13.444263,13.667072
70.36,29.82,30.022251
24.140003,19.061207,19.08621
9.9800005,10.95,13.8734865
8.02,7.12,7.3334312
4373.9214,19.36457,18.824276
12.110002,9.38,9.6421
10.81,3.59,2.73778
339.21994,13.633333,14.240808
7.9000006,1.3034743,2.3344672
21.98,17.23,16.926605
21.12,17.805586,17.879417
73.52998,10.528457,9.398964
26.8,13.79,13.825909
169.21002,31.68,32.409
16.09,15.650447,14.364228
23.13,18.666784,18.46196
169.85002,35.68,35.481426
8423.488,55.87,54.647106
2887.6003,34.15,35.627453
15.800001,4.713143,4.2278476
7.8099995,1.41,1.2595434
2163.05,47.88,47.498478
672.39,15.669943,15.0261545
19.960001,15.99,15.952501
7.8099995,1.41,1.2184229
16.95,10.09,9.539648
13.059999,11.72,12.009026
672.39,15.669943,17.180975
16.09,15.650447,14.580904
5.98,2.59,2.0232239
21.12,17.805586,17.5472
13.930001,12.41,10.97788
8.809999,2.04,1.4132096
11.919999,3.7930973,3.780196
671.44,38.48,38.021564
9.030001,8.39,7.921234
6.0,2.14,1.8712232
21.829998,6.1052113,6.6117578
4373.9214,19.36457,19.097193
8.05,5.45,6.844263
7.8099995,1.41,1.2862521
16.95,14.48,15.430897
19.11,16.944387,16.642982
15.089998,11.931292,12.349203
11.04,10.34,9.4856205
20.969997,16.61,18.55071
73.98999,26.4672,28.094307
13.059999,9.53,9.792417
71.10999,29.15,29.761936
22.680002,22.91,23.73205
26.8,13.79,13.066656
12.79,2.4130583,2.666688
8.02,7.12,6.6060762
2189.0002,43.23,44.709545
8.02,8.933609,8.251976
13.479999,5.43,4.6217637
15.800001,4.713143,5.0004835
4298.9214,49.2,49.631115
71.10999,29.15,29.438782
12.110002,11.03,10.71014
22.120003,18.234043,17.890448
5.89,0.55954283,0.67897457
21.829998,6.1052113,6.2129507
6.0099998,3.0833416,3.2215667
24.990002,11.83,11.38316
8.02,8.933609,7.678035
24.140003,19.061207,19.42995
11.919999,3.7930973,3.2081137
22.120003,18.234043,17.71895
168.51,30.36,34.40794
8.910001,1.9903406,2.0993538
19.960001,15.99,17.119135
12.070002,13.928049,14.196308
15.089998,11.931292,12.781864
339.21994,14.722285,14.339763
20.109999,17.372845,17.956804
25.350002,19.248446,19.67162
13.8,4.2514286,3.6674442
23.99,18.46,17.40437
2189.0002,43.23,44.86652
672.13995,38.606667,41.186264
9.030001,7.02,7.9061537
16.810001,4.9463086,4.768409
339.21994,13.633333,13.364081
9.030001,8.39,8.58569
6.0,2.14,2.5626693
10.03,12.7,10.744013
4373.571,45.243427,47.135853
7.98,8.89,8.117576
672.39,13.896667,14.727148
18.960001,15.37,15.3635235
16.810001,4.9463086,5.1194134
169.85002,32.76,33.25632
13.059999,11.72,10.016294
7.8099995,1.41,2.6161437
2189.0002,41.74,40.977367
26.8,13.79,13.944433
4373.9214,19.36457,17.947058
17.099998,12.537084,12.212427
15.940001,13.79,14.206913
9.91,2.702112,2.7944086
21.92,24.82,24.324928
11.04,10.34,9.159585
13.059999,11.72,11.403355
8567.97,52.8,54.332478
8019.77,53.633335,52.5263
2886.7703,17.312,16.695969
669.7299,43.24,43.127026
18.960001,15.37,15.766521
17.95,10.61,10.318171
9.0199995,11.202638,10.674003
339.98996,35.55,36.37059
7.8099995,1.41,0.9630707
23.13,18.666784,17.80728
4373.9214,18.35,17.658504
20.830002,5.8743544,5.807259
22.98,17.84,16.412754
71.10999,29.15,29.129812
339.21994,14.722285,14.312578
9.9800005,10.95,10.39888
14.940001,13.1,12.565945
8.910001,1.9903406,2.0135272
673.2299,33.23,36.31184
18.82,3.7848833,4.1053863
21.92,24.82,24.326946
2886.7703,17.312,19.528824
8.02,4.95,5.735771
6.0,2.14,1.8817505
8.02,7.12,6.4676275
2886.7703,17.312,17.30955
669.7299,43.24,43.8089
6.0099998,2.97,2.734383
4442.9995,44.78,45.801655
14.800001,4.4822855,4.395155
5.8100004,0.86,1.537917
73.52998,10.528457,10.855756
7.9000006,1.3433334,1.3883134
22.74,16.65,22.351873
338.94992,39.990856,39.436962
672.39,13.896667,14.455917
18.1,16.511646,16.70956
14.940001,13.1,13.754953
672.18,44.39,43.66097
9.9800005,13.08,12.736042
339.21994,14.722285,15.796251
8.02,7.12,6.729126
5.0099998,0.89,0.5935598
73.98999,26.306667,26.17418
9.030001,7.02,8.042737
10.03,12.7,10.123564
18.960001,15.37,15.151716
73.98999,26.4672,28.02931
19.82,4.0123835,4.2557664
8.809999,1.19,1.6405079
11.919999,3.7930973,3.7732778
8.03,7.03,5.804664
22.120003,18.234043,18.081694
21.829998,6.1052113,6.1480923
2189.0295,43.23,46.15011
338.94992,33.546665,33.635925
9.809999,2.67,2.1316557
7.0200005,5.04,3.0908117
13.479999,1.81,1.8823565
71.05,29.27,31.640675
26.8,13.79,13.860287
69.73999,31.13,32.59299
14.08,11.626889,12.030526
14.940001,13.1,12.620865
19.960001,15.99,15.647966
7.0200005,5.04,3.8218632
24.849998,6.6756287,6.3580284
5.9600005,0.92,1.4111428
70.33001,29.82,29.401413
4373.9214,19.36457,17.729263
19.82,5.6411886,5.5666294
24.849998,6.6756287,6.8099775
25.800001,13.79,13.007262
23.13,18.666784,18.345512
26.8,13.79,13.279129
16.95,14.48,14.549622
8.03,7.03,10.038631
7.98,8.89,7.4505363
13.8,4.2514286,3.9589758
168.60999,30.36,31.462149
25.34,19.246899,20.87627
5.0099998,2.22,1.9780512
19.960001,15.99,17.245316
4374.568,45.78,46.57394
73.52998,10.528457,11.18815
18.82,5.4103312,5.6493263
17.099998,16.083189,15.636055
11.81,4.51,3.9414067
5.8100004,0.86,1.712178
18.1,16.511646,17.113213
11.03,13.669248,13.879205
8567.97,52.8,52.693493
339.98996,35.55,35.805317
165.83003,39.27,37.33826
11.919999,3.7930973,3.9447346
73.52998,9.83,10.002261
14.940001,13.1,13.211868
24.140003,19.061207,18.598042
25.34,19.246899,20.881979
12.110002,11.03,11.261593
169.21002,31.68,33.25038
8020.168,18.416666,19.158298
16.09,15.650447,15.303363
2162.98,47.88,48.74166
4443.741,52.89,47.077908
21.829998,6.1052113,6.330955
22.289999,15.69,17.241676
18.1,16.511646,15.753145
2886.4302,43.84,43.415524
73.98999,26.4672,27.924973
672.39,15.669943,15.499077
21.12,17.805586,17.316519
12.79,4.018263,3.2954857
6.0099998,2.97,1.9405347
672.39,15.669943,16.28887
9.030001,8.39,7.029707
23.13,14.354459,14.082073
672.39,15.669943,16.605759
4373.571,41.233334,45.00129
6.0299997,2.14,1.7439318
73.52998,9.83,8.578745
10.81,3.59,3.1508236
4298.9214,49.2,49.7875
339.21994,14.722285,15.108541
5.9600005,0.92,0.86606735
672.21014,44.39,45.79262
2886.7703,14.883333,16.882965
6.9,0.91193146,1.3364995
5.89,0.55954283,0.43476397
9.0199995,11.202638,10.730329
12.110002,11.03,11.387827
16.09,15.650447,15.367682
21.890001,24.82,24.56654
23.839998,6.5692344,6.311587
339.21994,14.722285,14.590801
9.030001,8.39,8.458356
7.98,8.89,6.3917675
6.9,0.91193146,1.1783862
2189.63,47.09,46.376625
21.12,13.748667,13.844306
12.810001,1.81,1.7172039
8.02,8.933609,7.9470263
11.03,9.9815,10.316645
8423.488,55.87,55.817043
671.4701,40.15,41.722286
6.0099998,3.0833416,4.6474113
11.04,10.34,9.744359
20.830002,5.8743544,6.198346
6.0099998,3.0833416,3.9910765
73.55,29.42,30.394514
15.089998,15.22199,15.896964
8020.168,18.416666,18.613514
339.21994,14.722285,14.520132
23.13,18.666784,17.858866
5.89,0.5833333,0.5598152
19.960001,15.99,15.393843
12.070002,13.928049,12.997263
7.98,8.89,5.795143
673.2299,34.82,36.05519
21.92,19.72,20.209196
15.940001,13.79,13.673595
26.8,13.79,13.133527
6.0099998,3.13,2.2519453
7.9299994,1.01,1.0972689
20.830002,4.2421584,4.4345136
13.059999,11.72,10.545121
168.51,30.36,33.051685
73.51,29.42,31.74422
18.82,5.4103312,5.7520676
338.94992,33.546665,33.197876
9.0199995,11.202638,10.479123
70.36,23.8,29.022308
7.9399996,1.01,1.6015165
14.940001,13.1,14.621899
2887.6003,34.15,40.19627
22.839998,6.338377,6.9557953
2886.4302,43.84,45.643078
10.03,13.433362,11.758123
20.109999,17.372845,17.929947
6.0099998,3.0833416,2.5187535
672.13995,41.52,41.398018
26.8,13.79,12.091969
8020.902,49.9,49.072014
2162.9995,43.37,44.30181
8.02,8.933609,8.591818
5.9600005,0.58,0.57932824
18.960001,15.37,15.871443
4297.851,49.63,49.173286
672.13995,41.52,43.16816
69.75,31.13,32.664566
16.09,15.650447,15.892637
6.8099995,1.14,1.1972505
669.7299,43.24,45.611908
9.809999,2.67,2.34581
15.089998,11.931292,11.673946
8.809999,2.04,1.6783446
22.24,11.89,11.465917
13.930001,12.41,12.642825
24.140003,14.650763,13.889429
169.85002,32.76,33.313824
6.9,0.91193146,1.4668696
17.95,14.75,15.056635
15.940001,13.79,14.235315
165.83003,36.39,37.207943
15.089998,15.22199,13.742773
9.0199995,8.099667,9.472611
22.98,17.84,19.671106
20.969997,16.61,16.044998
70.33001,29.82,32.950592
18.1,16.511646,16.828526
4442.9995,43.85,44.672604
9.91,2.702112,3.359844
22.24,15.69,13.51835
12.79,4.018263,3.6497169
25.800001,13.79,14.682078
4442.9995,44.78,45.669956
2886.7703,17.312,18.587477
8.809999,2.04,1.8567024
73.51,29.42,28.546127
20.830002,4.2421584,4.208066
10.03,13.433362,12.7416725
8568.003,53.45,52.824154
10.81,3.59,3.558093
23.99,18.46,16.839142
7.9000006,1.3034743,1.6947918
2886.7703,17.312,17.099295
2163.05,47.88,44.568546
25.800001,13.79,13.15347
73.52998,10.528457,10.39534
14.800001,4.4822855,3.6593816
168.51,30.36,30.417488
5.0099998,0.89,0.7411515
20.969997,16.61,17.00687
165.83003,36.39,35.271343
15.089998,15.22199,15.043899
8019.77,53.633335,55.11126
10.03,9.1,8.921636
18.960001,15.37,15.733038
2189.63,47.09,48.755894
7.9700003,2.24,1.9713106
71.05,29.27,31.277763
7.9700003,2.24,2.531857
11.03,13.669248,12.548147
14.08,11.626889,12.767474
8423.424,55.87,55.21785
169.85002,35.68,36.14214
70.36,23.8,24.884157
20.109999,13.444263,13.7040825
8020.902,49.9,49.0719
4297.851,49.63,49.5858
6.9,0.9433333,0.91150075
2163.05,47.88,49.49972
17.099998,16.083189,16.996273
22.839998,6.338377,6.1423087
8.809999,2.04,1.6786205
338.94992,33.546665,34.853302
15.940001,13.79,13.811513
21.92,24.82,25.229013
10.919999,2.3233333,2.5486953
7.01,6.0003705,6.9342556
4373.571,45.243427,45.304657
339.98996,30.27,31.725595
672.18,43.22,43.663418
10.03,9.65,8.9107685
13.8,4.2514286,3.933134
165.83003,36.39,39.039024
24.849998,6.6756287,6.8866925
11.81,4.51,3.6746159
21.98,17.23,16.533092
5.89,0.55954283,0.7866953
10.919999,3.25824,3.0189278
8020.168,18.416666,18.45553
10.81,3.59,3.4641871
168.51,30.36,36.17996
6.8099995,1.14,1.0545378
8020.902,45.85,47.73863
70.33001,29.82,32.787563
6.0099998,2.97,1.8865973
672.18,43.22,45.121292
10.919999,3.25824,3.6961918
73.55,23.73,25.646069
22.839998,6.338377,6.1210966
13.479999,5.43,6.681187
8.809999,1.19,1.0772077
9.91,2.702112,2.4159427
2163.05,47.88,45.855286
5.99,1.4,1.0925484
13.8,4.2514286,3.6463652
6.8099995,0.7,0.5572949
17.95,14.75,16.21768
19.82,5.6411886,5.6158304
19.960001,15.99,16.196571
24.990002,18.46,16.8682
19.960001,11.02,10.784976
25.800001,13.79,13.016455
2886.7703,17.312,17.759834
18.82,5.4103312,5.720724
5.89,0.55954283,0.7753499
338.94992,39.990856,38.580353
5.99,0.92,1.2265987
169.85002,35.68,34.444798
24.140003,14.650763,15.266334
18.1,16.511646,16.647478
21.829998,6.1052113,6.232722
7.01,6.0003705,5.7488365
673.2299,34.82,35.890022
11.919999,2.24,2.7030518
13.069999,14.356506,16.248674
2163.05,47.88,48.43197
5.0099998,0.89,1.2646089
16.810001,4.9463086,4.7282104
11.81,4.51,6.0604925
20.830002,5.8743544,6.483262
2886.4302,36.2,42.231613
10.03,9.65,10.067859
17.95,14.75,14.963501
16.09,15.650447,15.23291
5.8100004,0.56,0.85309523
69.73999,31.13,30.874666
13.079999,14.360791,14.00267
5.8100004,0.86,1.4051596
671.44,40.15,40.27902
339.98996,30.27,33.04525
23.839998,4.9269333,4.904075
7.01,5.286667,6.110177
7.9299994,1.01,1.4586184
16.09,12.23268,10.916388
10.03,9.65,9.752864
20.969997,11.22,11.158643
8.02,7.283,7.155026
17.95,14.75,14.576233
18.960001,15.37,16.069956
9.9800005,13.08,9.486472
69.73999,33.26,32.60887
7.0200005,5.04,4.6610384
16.810001,4.9463086,4.4424143
24.849998,6.6756287,6.367517
13.059999,9.53,9.411327
4443.7114,42.22,45.040997
15.940001,13.79,14.037888
12.070002,13.928049,13.630575
23.99,18.46,17.870802
12.070002,11.021097,9.991777
13.8,4.2514286,4.151984
8567.97,53.45,53.988827
7.98,8.89,9.665424
17.81,5.1771655,4.775485
19.11,16.944387,17.364344
6.9,0.91193146,0.9980878
2887.6003,42.19,43.421146
20.969997,16.61,17.315088
339.98996,35.55,37.8551
16.810001,3.3276083,3.252159
73.98999,26.4672,28.20734
20.969997,16.61,15.6314335
12.79,2.4130583,2.8826668
22.839998,6.338377,6.4519305
9.0199995,11.202638,10.703375
15.810001,4.7154512,4.0716934
11.81,1.72,1.423986
7.0200005,5.04,3.6691976
15.089998,15.22199,14.641614
8019.77,53.633335,52.576546
2189.0002,43.23,44.13934
16.95,14.48,14.668893
9.809999,2.67,2.6080046
14.800001,2.8703334,2.7506695
13.930001,12.41,13.208926
9.0199995,8.099667,8.42937
6.9,0.91193146,1.3252145
22.680002,22.91,23.545843
21.98,17.23,17.2702
10.0,4.06,3.5999432
7.0200005,5.04,3.6339726
4373.571,45.243427,45.388866
5.98,2.59,1.1588919
11.919999,3.7930973,3.3784962
10.03,10.25,8.7053
25.800001,9.81,9.214671
23.839998,6.5692344,6.658441
669.79987,43.24,41.622772
8020.168,18.416666,19.459774
17.81,5.1771655,4.81076
18.960001,15.37,14.933338
11.81,4.51,4.3981357
11.04,9.24,9.483742
672.13995,41.52,41.53431
22.839998,6.338377,6.575911
8423.424,59.97,57.344616
8.910001,1.9903406,3.1647594
7.9000006,1.3034743,2.1525178
73.98999,26.4672,29.531952
12.79,4.018263,3.471147
20.969997,16.61,16.092415
22.74,22.91,21.5624
165.83003,39.27,37.429405
8568.003,53.45,56.32268
20.830002,5.8743544,5.7029524
15.940001,13.79,13.3165245
6.9,0.91193146,0.5410872
10.03,13.433362,12.259498
22.120003,18.234043,18.377924
16.95,14.48,13.864186
70.36,23.8,28.325994
15.089998,15.22199,14.237068
339.98996,35.55,33.953403
7.9000006,1.3034743,1.8784168
4443.741,52.89,51.37507
14.800001,4.4822855,4.5990124
11.03,13.669248,12.730394
22.120003,18.234043,17.72929
19.82,5.6411886,5.499112
6.0299997,2.14,4.7060795
2162.98,43.37,45.307545
14.800001,4.4822855,3.9594762
672.13995,41.52,41.708046
5.89,0.55954283,0.84766287
24.990002,18.46,16.251907
5.9500003,2.59,1.7655935
12.070002,13.928049,13.677704
23.839998,6.5692344,6.6914215
8.910001,1.8459166,2.1739204
11.81,4.51,4.5495405
8.05,7.03,5.816324
4443.0293,44.78,46.710526
7.98,8.89,7.410448
12.810001,5.43,4.2937493
672.39,13.896667,14.905767
7.0200005,5.04,4.8298025
10.03,8.9315,9.629573
339.21994,14.722285,14.734723
17.099998,12.537084,11.938623
17.81,5.1771655,4.796293
18.82,5.4103312,5.3229723
24.849998,6.6756287,6.892726
21.890001,24.82,26.702286
672.21014,44.39,44.99314
673.2299,34.82,36.67545
13.079999,14.360791,15.204344
11.04,10.34,9.474409
9.989999,4.06,4.479541
19.82,5.6411886,5.2778463
11.81,4.51,6.741034
23.839998,6.5692344,7.1529455
4298.9214,49.2,49.65052
7.8099995,1.41,1.2472217
5.9500003,2.59,2.4396195
24.990002,18.46,18.30027
672.21014,44.39,43.68087
20.969997,16.61,16.495457
8568.452,46.17,50.62704
13.059999,11.72,11.697224
4374.568,45.78,45.089916
13.930001,12.41,12.882166
7.98,6.57,6.0782537
5.8100004,0.86,1.0773551
12.070002,13.928049,15.120003
5.89,0.55954283,0.95053107
4373.9214,19.36457,20.118374
2189.0002,41.74,43.83151
18.82,5.4103312,5.763315
9.989999,4.06,2.7825618
17.81,5.1771655,5.509011
8567.97,53.45,53.462452
24.140003,19.061207,18.792336
25.800001,13.79,13.76366
17.95,14.75,14.390951
70.36,29.82,30.805178
8423.424,55.87,54.314095
15.800001,4.713143,4.4689264
25.34,19.246899,20.252867
5.9500003,2.59,2.0095384
15.940001,13.79,13.170363
8020.168,18.416666,19.715912
11.03,13.669248,13.500396
672.39,15.669943,15.338772
7.8099995,0.84,0.90630037
16.95,10.09,9.918968
24.990002,18.46,18.710861
12.810001,5.43,4.791641
14.800001,4.4822855,4.249041
6.8099995,0.7,1.2105534
5.8100004,0.86,1.149567
10.03,13.433362,10.964054
7.01,6.0003705,6.6278505
13.8,2.6428332,2.9536638
168.60999,30.36,30.952911
13.479999,5.43,4.65566
673.2299,34.82,36.40243
21.12,17.805586,17.69109
7.98,8.89,7.7556734
19.11,16.944387,16.306131
673.2299,34.82,37.258842
12.810001,5.43,4.118908
18.960001,15.37,15.172757
9.9800005,12.7,14.336607
672.39,15.669943,16.298414
11.03,13.669248,14.845484
2886.4302,43.84,45.10574
8568.469,55.27,55.40531
22.289999,15.69,12.412658
6.8099995,1.14,1.1700803
71.05,29.27,31.252892
169.21002,31.68,31.614952
15.940001,13.79,12.817905
16.95,14.48,14.642859
17.099998,12.537084,12.054894
23.99,18.46,16.689684
26.8,13.79,13.158731
7.01,6.0003705,4.403281
7.8099995,1.41,1.9326267
7.9299994,2.24,2.4064417
16.95,14.48,13.8997
14.08,14.789248,14.240637
18.960001,10.81,10.463864
10.03,13.433362,12.433286
11.919999,3.7930973,3.412476
23.99,18.46,19.139696
21.12,13.748667,13.922285
69.75,31.13,31.051569
14.940001,13.1,14.246464
9.809999,2.67,2.5684118
13.8,4.2514286,3.3980422
9.989999,4.06,3.6664257
22.839998,6.338377,6.4937506
6.0099998,3.0833416,2.017313
4374.86,38.78,43.482944
21.98,17.23,16.379784
11.04,9.24,9.18086
7.98,8.89,8.553139
4443.0293,44.78,45.735294
8019.77,46.233334,46.638603
10.919999,3.25824,2.6170583
673.2299,34.82,36.5426
9.9800005,13.08,12.556522
671.44,40.15,39.624043
16.95,14.48,14.765413
17.95,14.75,14.261934
71.05,29.27,32.63182
6.0099998,2.97,2.0072715
165.83003,36.39,33.85226
8.02,8.933609,9.544373
21.12,17.805586,18.439182
7.9299994,2.24,1.2652673
20.109999,17.372845,16.88116
9.030001,8.39,8.036992
11.919999,2.24,2.678076
338.94992,39.990856,38.934772
25.34,19.246899,19.846458
18.1,12.838472,12.75649
20.830002,5.8743544,6.168505
10.919999,2.3233333,2.4508884
7.98,6.57,3.5738919
169.21002,31.68,35.30958
9.9800005,12.7,12.3064785
8568.469,55.27,55.77302
2189.0295,43.23,44.913578
13.930001,12.41,11.82826
17.95,10.61,10.496577
25.800001,13.79,12.667328
22.98,17.84,16.551804
23.99,18.46,16.096008
21.829998,4.4696584,4.446023
73.52998,9.83,11.106377
7.01,6.0003705,7.932616
22.74,22.91,23.429514
16.810001,4.9463086,4.977376
4374.86,38.78,41.273357
24.140003,19.061207,17.405994
8.05,5.45,5.0500865
8020.168,18.416666,19.149422
12.110002,11.03,11.836972
19.82,5.6411886,5.8929453
672.18,44.39,45.97218
8019.77,53.633335,53.44463
2189.63,47.09,49.09943
24.140003,19.061207,18.6644
18.82,5.4103312,5.723314
9.91,2.702112,3.6914794
2189.63,44.56,44.111423
18.960001,10.81,10.595925
169.85002,32.76,34.918537
13.8,4.2514286,4.913188
16.810001,4.9463086,4.8333282
11.04,9.24,8.899859
12.810001,5.43,4.829417
6.0299997,2.48,1.9365103
2887.6003,42.19,42.842525
10.919999,3.25824,2.7865915
18.82,5.4103312,5.826311
7.9700003,2.24,2.1169686
9.9800005,13.08,14.894119
8.809999,2.04,2.1331875
71.10999,29.27,29.66417
9.809999,2.67,2.468062
5.0099998,0.89,0.67227536
2189.63,47.09,49.85677
15.800001,4.713143,4.625751
8.02,8.933609,7.946698
5.89,0.55954283,1.3795725
5.0099998,0.89,1.0095783
23.13,18.666784,18.25206
11.04,10.34,9.548999
672.21014,44.39,45.39758
7.01,6.0003705,5.5025873
339.98996,30.27,30.83868
20.830002,5.8743544,5.862945
15.089998,15.22199,15.197521
70.33001,29.82,30.357235
2886.7703,17.312,18.027077
11.03,9.9815,10.802185
18.1,16.511646,16.058113
4373.571,41.233334,44.11083
21.12,17.805586,18.229753
23.99,11.83,11.438923
339.21994,14.722285,15.687889
19.11,16.944387,17.343948
25.34,19.246899,18.817173
168.51,30.36,32.20863
11.81,1.72,2.9495077
22.74,22.91,21.292353
4443.0293,44.78,44.294994
8.910001,1.9903406,3.2157397
339.21994,14.722285,15.295806
5.0099998,0.89,1.2167665
2886.7703,14.883333,16.778595
9.030001,8.39,9.050255
4443.0293,44.78,46.6824
13.930001,12.41,10.589306
10.919999,3.25824,3.009478
21.12,17.805586,17.661715
6.0,2.14,2.7581196
672.13995,38.606667,39.92384
12.810001,5.43,5.117505
15.810001,3.1001084,3.4109657
339.98996,35.55,34.908096
9.9800005,13.08,10.542652
2189.0002,43.23,44.371662
169.79997,35.68,34.659927
73.55,23.73,26.566275
8.02,7.12,6.2304115
18.1,16.511646,17.061821
17.81,3.5551083,3.9368086
17.099998,16.083189,16.608913
10.03,9.65,9.167044
8.910001,1.9903406,2.1412678
13.079999,14.360791,13.9841385
339.21994,13.633333,14.333765
26.8,9.81,11.794775
22.120003,18.234043,17.929947
2887.6003,42.19,42.297558
2886.7703,14.883333,15.043126
13.079999,11.3255,11.680249
4373.9214,18.35,17.272093
7.01,6.0003705,5.737543
16.95,14.48,14.775009
9.9800005,12.7,13.178439
6.0099998,3.13,3.2134566
23.839998,6.5692344,6.505498
20.109999,17.372845,17.493313
70.33001,29.82,29.843668
13.079999,14.360791,14.265032
17.099998,16.083189,14.928494
16.09,15.650447,16.105356
20.830002,5.8743544,6.655049
8.03,7.03,7.341145
21.98,17.23,17.9807
4373.571,41.233334,42.02702
15.940001,9.95,9.665096
12.79,4.018263,3.7005405
338.94992,39.990856,36.44716
14.800001,4.4822855,5.0295
168.60999,30.36,29.733805
6.0099998,3.0833416,2.4776402
672.39,15.669943,16.541351
17.81,5.1771655,5.409177
669.7299,47.26,45.571552
338.94992,39.990856,38.432087
4373.571,45.243427,48.082394
22.74,16.65,16.605232
